HAFNI NO	Hafnia Ltd
STNG US	Scorpio Tankers Inc
TRMD US	TORM PLC
FRO US	Frontline PLC
ECO US	Okeanis Eco Tankers Corp
DHT US	DHT Holdings Inc
EURN EU	CMB Tech NV
INSW US	International Seaways Inc
NAT US	Nordic American Tankers Ltd
TEN US	Tsakos Energy Navigation Ltd
IMPP US	Imperial Petroleum Inc
PSHG US	Performance Shipping Inc
TORO US	Toro Corp
TNK US	Teekay Tankers Ltd
PXS US	Pyxis Tankers Inc
FRO US	Frontline PLC
TOPS US	TOP Ships Inc
DSX US	Diana Shipping Inc
GNK US	Genco Shipping & Trading Ltd
GOGL US	Golden Ocean Group Ltd
NMM US	Navios Maritime Partners LP
SB US	Safe Bulkers Inc
SBLK US	Star Bulk Carriers Corp
SHIP US	Seanergy Maritime Holdings Cor
2020 NO	2020 Bulkers Ltd
HSHP NO	Himalaya Shipping Ltd
EDRY US	EuroDry Ltd
JIN NO	Jinhui Shipping & Transportati
BELCO NO	Belships ASA
CTRM US	Castor Maritime Inc
ICON US	Icon Energy Corp
GLBS US	Globus Maritime Ltd
CMRE US	Costamare Inc
DAC US	Danaos Corp
GSL US	Global Ship Lease Inc
ESEA US	Euroseas Ltd
MPCC NO	MPC Container Ships ASA
ZIM US	ZIM Integrated Shipping Servic
SFL US	SFL Corp Ltd
MAERSKB DC	AP Moller - Maersk A/S
BWLPG NO	BW LPG Ltd
LPG US	Dorian LPG Ltd
CCEC US	Capital Clean Energy Carriers
GASS US	StealthGas Inc
DLNG US	Dynagas LNG Partners LP
AGAS NO	Avance Gas Holding Ltd
ALNG NO	Awilco LNG AS
CLCO NO	Cool Co Ltd
FLNG US	FLEX LNG Ltd
RIG US	Transocean Ltd
HLX US	Helix Energy Solutions Group I
PRS NO	Prosafe SE
SPM IM	Saipem SpA
SBMO NA	SBM Offshore NV
TDW US	Tidewater Inc
RIO US	Rio Tinto PLC
BHP US	BHP Group Ltd
VALE US	Vale SA
GLNCY US	Glencore PLC
ADM US	Archer-Daniels-Midland Co
WLMIY US	Wilmar International Ltd
BG US	Bunge Global SA
SHEL US	Shell PLC
XOM US	Exxon Mobil Corp
CVX US	Chevron Corp
TTE US	TotalEnergies SE
WPM US	Wheaton Precious Metals Corp
GOLD US	Barrick Gold Corp
CLF US	Cleveland-Cliffs Inc
ALB US	Albemarle Corp
MOS US	Mosaic Co/The
BDRY US	Breakwave Dry Bulk Shipping ET
BWET US	Breakwave Tanker Shipping ETF
INDU Index	Dow Jones Industrial Average
SPX Index	S&P 500 INDEX
CCMP Index	NASDAQ Composite Index
SPTSX Index	S&P/TSX Composite Index
MEXBOL Index	S&P/BMV IPC
IBOV Index	Ibovespa Brasil Sao Paulo Stoc
SX5E Index	EURO STOXX 50 Price EUR
UKX Index	FTSE 100 Index
CAC Index	CAC 40
DAX Index	Deutsche Boerse AG German Stoc
IBEX Index	IBEX 35 Index
FTSEMIB Index	FTSE MIB Index
OMX Index	OMX Stockholm 30 Index
SMI Index	Swiss Market Index
NKY Index	Nikkei 225
HSI Index	Hang Seng Index
SHSZ300 Index	Shanghai Shenzhen CSI 300 Inde
AS51 Index	S&P/ASX 200
WORLD Index	Bloomberg World Large & Mid Ca
CLA Comdty	WTI CRUDE FUTURE  Apr25
COA Comdty	BRENT CRUDE FUTR  May25
QSA Comdty	Low Su Gasoil G   Mar25
XBA Comdty	GASOLINE RBOB FUT Apr25
HOA Comdty	NY Harb ULSD Fut  Apr25
NGA Comdty	NATURAL GAS FUTR  Apr25
TZTA Comdty	TTF NAT GAS F     Apr25
LMAHDS03 Comdty	LME ALUMINUM  3MO ($)
LMCADS03 Comdty	LME COPPER    3MO ($)
LMNIDS03 Comdty	LME NICKEL    3MO ($)
IOEA Comdty	DCE Iron Ore Fut  May25
RBTA Comdty	Deformed Bar Fut  May25
XAU Curncy	Gold
XAG Curncy	Silver
LCA Comdty	LIVE CATTLE FUTR  Apr25
KCA Comdty	COFFEE 'C' FUTURE May25
C A Comdty	CORN FUTURE       May25
CTA Comdty	COTTON NO.2 FUTR  May25
S A Comdty	SOYBEAN FUTURE    May25
SBA Comdty	SUGAR #11 (WORLD) May25
W A Comdty	WHEAT FUTURE(CBT) May25
91282CMM Govt	T 4 5/8 02/15/35
YW370853 Corp	CAN 3 1/4 12/01/34
ZF497784 Corp	BRAZIL 6 1/8 03/15/34
ZO305198 Corp	ARGENT 4 1/8 07/09/35
ZM215990 Corp	MEX 6.35 02/09/35
YR075593 Corp	UKT 4 1/2 03/07/35
YR156127 Corp	FRTR 3.2 05/25/35
YS326771 Corp	DBR 2 1/2 02/15/35
YS466858 Corp	BTPS 3.65 08/01/35
YX393934 Corp	SPGB 3.45 10/31/34
YS492770 Corp	PGB 3 06/15/35
ZF411707 Corp	SGB 2 1/4 05/11/35
ZF793713 Corp	NETHER 2 1/2 07/15/34
BP977825 Corp	SWISS 0 1/4 06/23/35
YS603944 Corp	GGB 3 5/8 06/15/35
